loss,recall_2,precision_2,val_loss,val_recall_2,val_precision_2
4.609598636627197,0.0,0.0,4.605175971984863,0.0,0.0
4.605986595153809,0.0,0.0,4.605175495147705,0.0,0.0
4.6059746742248535,0.0,0.0,4.605175971984863,0.0,0.0
4.605992317199707,0.0,0.0,4.605175971984863,0.0,0.0
4.6059746742248535,0.0,0.0,4.605175971984863,0.0,0.0
4.606011390686035,0.0,0.0,4.605174541473389,0.0,0.0
4.605973243713379,0.0,0.0,4.605175495147705,0.0,0.0
4.6059651374816895,0.0,0.0,4.605175971984863,0.0,0.0
4.605985164642334,0.0,0.0,4.605175971984863,0.0,0.0
4.605989456176758,0.0,0.0,4.605175495147705,0.0,0.0
